﻿Nom du festival;Région principale de déroulement;Département principal de déroulement;Commune principale de déroulement;Code postal;Site internet du festival;Adresse e-mail;Décennie de création du festival;Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Géocodage xy
Château Perché Festival;Centre-Val de Loire;Cher;Ainay-le-Vieil;18002;https://chateauperche.com/;;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);46.6641114038, 2.54417379933
Les Animés - rencontres de l'animation en Occitanie;Occitanie;Haute-Garonne;Aucamville;31022;http://lesanimes.fr;info@lesanimes.fr;2010 et après;2015;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);43.6713968117, 1.42370910767
L'Paille à Sons;Centre-Val de Loire;Eure-et-Loir;Chartres;28085;https://www.lpailleasons-festival.com;lessonsdusoussol@gmail.com;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);48.4471464884, 1.50570610616
Paris Images Digital Summit;Île-de-France;Val-d'Oise;Enghien-les-Bains;95210;;;2010 et après;2015;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);48.97016048, 2.30485955429
Les étoiles sur le sable;Provence-Alpes-Côte d'Azur;Var;Hyères;83069;https://www.facebook.com/lesetoilessurlesable/;ucac83@gmail.com;2010 et après;2015;Spectacle vivant;Saison (21 juin - 5 septembre);43.1018713534, 6.18898508469
Folies Bastringue Festival;Nouvelle-Aquitaine;Vienne;La Roche-Posay;86207;http://www.lafaussecompagnie.fr/;pourdevrai@lafaussecompagnie.fr;2010 et après;2015;Spectacle vivant;Après-saison (6 septembre - 31 décembre);46.7754623113, 0.80240732874
All Day in;Guadeloupe;Guadeloupe;Le Moule;97117;https://alldayinmusicfestival.com/;Contactadifest@gmail.com;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);16.3204595682, -61.3718985191
Pas Cap ?;Hauts-de-France;Nord;Lille;59350;https://www.theatre-massenet.com/;administration@theatre-massenet.com;2010 et après;2015;Spectacle vivant;Après-saison (6 septembre - 31 décembre);50.6317183168, 3.04783272312
Manga mania;Auvergne-Rhône-Alpes;Drôme;Montélimar;26198;http://www.manga-mania.fr/;;2010 et après;2015;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);44.5540845734, 4.74869387765
Nice fictions;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Nice;6088;http://nice-fictions.fr/;contact@nice-fictions.fr;2010 et après;2015;Livre, littérature;Avant-saison (1er janvier - 20 juin);43.7119992661, 7.23826889465
Cirque d'été à Niort;Nouvelle-Aquitaine;Deux-Sèvres;Niort;79191;http://www.vivre-a-niort.com;mairie@mairie-niort.fr;2010 et après;2015;Spectacle vivant;Saison (21 juin - 5 septembre);46.328260242, -0.465353019369
Les Mots Dits;Bourgogne-Franche-Comté;Yonne;Appoigny;89013;;bdp@yonne.fr;2010 et après;2015;Livre, littérature;Avant-saison (1er janvier - 20 juin);47.8663621082, 3.51999342457
Seille de Crime;Grand Est;Meurthe-et-Moselle;Arraye-et-Han;54024;https://seilledecrime.fr/;"contact@seilledecrime.fr; icerutti@laposte.net";2010 et après;2015;Livre, littérature;Après-saison (6 septembre - 31 décembre);48.8354421206, 6.28872660857
Rendez-vous hip-hop;Hauts-de-France;Nord;Lille;59350;https://flow.lille.fr/;flow@mairie-lille.fr;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);50.6317183168, 3.04783272312
Les toiles magiques;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Nice;6088;http://www.espacemagnan.com/;alexandra.auffret@espacemagnan.com;2010 et après;2015;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);43.7119992661, 7.23826889465
Prunay'stival;Centre-Val de Loire;Loir-et-Cher;Prunay-Cassereau;41184;https://prunaystival.wixsite.com/prunaystival/infospratiques;;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);47.6845526893, 0.912628813807
Les petites flâneries de Saint-Seine;Bourgogne-Franche-Comté;Nièvre;Saint-Seine;58268;;theatre.accalmie@gmail.com;2010 et après;2015;Spectacle vivant;Saison (21 juin - 5 septembre);46.7247057323, 3.81621435
Lire Sur La Vague;Nouvelle-Aquitaine;Landes;Soorts-Hossegor;40304;www.liresurlavague.org;liresurlavague@gmail.com;2010 et après;2015;Livre, littérature;Saison (21 juin - 5 septembre);43.6675688674, -1.41245896656
De l'Ain à l'autre;Auvergne-Rhône-Alpes;Ain;Trévoux;1427;www.festivaaal.com;comitact@gmail.com;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);45.940671655, 4.7714415007
Jazz Au Pôle;Nouvelle-Aquitaine;Landes;Mont-de-Marsan;40192;http://www.lemarsan.fr;contact@montdemarsan-agglo.fr;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);43.899361404, -0.490722577455
Les nuits flamencas d'aubagne;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Aubagne;13005;www.lesnuitsflamencas.fr;communication@nomadeskultur.com;2010 et après;2015;Spectacle vivant;Saison (21 juin - 5 septembre);43.2934843764, 5.56331273477
Acontraluz;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13055;www.acontraluz.fr;kim.marsilj@mcocongres.com;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);43.296346, 5.369889
Les Primeurs de Castres;Occitanie;Tarn;Castres;81065;http://www.lesprimeursdecastres.fr/;lo.bolegason@bolegason.org;2010 et après;2015;Musique;Après-saison (6 septembre - 31 décembre);43.6156511237, 2.23787231587
Batôjazz;Auvergne-Rhône-Alpes;Savoie;Chanaz;73073;https://www.batojazz.com/;d.scheidecker@wanadoo.fr;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);45.8034782998, 5.79654546056
Babel minots;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13055;www.babelminots.com;julien@lenomad.com;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);43.296346, 5.369889
Montauban en scènes;Occitanie;Tarn-et-Garonne;Montauban;82121;https://www.montauban-en-scenes.fr/;festivalmontaubanenscenes@ville-montauban.fr;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);44.0222594578, 1.36408636501
Les Scènes Vagabondes;Pays de la Loire;Loire-Atlantique;Nantes;44109;http://www.nantes.fr/scenesvagabondes;;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);47.2316356767, -1.54831008605
Sur le champ !;Auvergne-Rhône-Alpes;Drôme;Valence;26362;http://www.festival-surlechamp.fr/;violette.bernad@mairie-valence.fr;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);44.9229811667, 4.91444013136
Béguéé fest';Hauts-de-France;Aisne;Landricourt;2406;https://www.facebook.com/begueefest;begueefest@gmail.com;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);49.505420346, 3.36950507041
Rade side;Provence-Alpes-Côte d'Azur;Var;Toulon;83137;https://www.radeside.com/;directionadjointe@tandem83.com;2010 et après;2015;Musique;Après-saison (6 septembre - 31 décembre);43.1361589728, 5.93239634249
Festival Trois ptits points;Occitanie;Ariège;Saint-Girons;9261;http://trois-ptits-points.fr/;festivaltpp@gmail.com;2010 et après;2015;Spectacle vivant;Avant-saison (1er janvier - 20 juin);42.9752923045, 1.15326595533
Mon baby blues festival;Bourgogne-Franche-Comté;Doubs;Montbéliard;25388;https://www.monbabybluesfestival.com/;adesmoles@gmail.com;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);47.5155169816, 6.79148147353
Les tréteaux de Vence;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Vence;6157;https://www.facebook.com/Les-Tr%C3%A9teaux-de-VENCE-986646798114977/;fhvf@orange.fr;2010 et après;2015;Spectacle vivant;Saison (21 juin - 5 septembre);43.7384640641, 7.10194436087
Dôme festival;Centre-Val de Loire;Indre-et-Loire;Montbazon;37154;https://ledomefestival.com/;;2010 et après;2015;Pluridisciplinaire;Saison (21 juin - 5 septembre);47.2839455811, 0.706640870715
Journées des écrivains du sud;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Aix-en-Provence;13055;www.aixenprovence.fr;contact@ecrivains-du-sud.com;2010 et après;2015;Livre, littérature;Avant-saison (1er janvier - 20 juin);43.296346, 5.369889
Le Berry à du coeur;Centre-Val de Loire;Cher;Aubigny-sur-Nère;18015;www.le-berry-a-du-coeur-festival-solidaire.com;;2010 et après;2015;Musique;Après-saison (6 septembre - 31 décembre);47.4861718263, 2.42121788452
Jours de danse(s);Auvergne-Rhône-Alpes;Cantal;Aurillac;15014;culture.cantal.fr;cchezeau@cantal.fr;2010 et après;2015;Spectacle vivant;Avant-saison (1er janvier - 20 juin);44.9245233686, 2.44162453828
Les Estivales de Beaugency;Centre-Val de Loire;Loiret;Beaugency;45028;http://www.beaugency.fr/mes-sorties-et-loisirs/fetes-et-evenements/les-estivales/;;2010 et après;2015;Pluridisciplinaire;Saison (21 juin - 5 septembre);47.7781494309, 1.63946818857
La Douve Blanche;Île-de-France;Seine-et-Marne;Egreville;77168;www.ladouveblanche.com;contact@animalrecords.fr;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);48.1821285238, 2.88437118271
Festival Vibrations Poétiques;Nouvelle-Aquitaine;Charente-Maritime;La Rochelle;17300;https://www.facebook.com/Vibrations-Po%C3%A9tiques-1646407972286210/;;2010 et après;2015;Livre, littérature;Avant-saison (1er janvier - 20 juin);46.1620643972, -1.17465702836
Les Vendredi du bois doublé;Pays de la Loire;Sarthe;Montfort-le-Gesnois;72241;;;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);48.0577881474, 0.402183285649
Les Vendanges du 7e Art;Nouvelle-Aquitaine;Gironde;Pauillac;33314;www.vendangesdu7emeart.fr;communication@mairie-pauillac.fr;2010 et après;2015;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);45.1990068041, -0.758200153521
Rendez-vous à Saint-Briac;Bretagne;Ille-et-Vilaine;Saint-Briac-sur-Mer;35256;festivartsaintbriac.fr;festivartsaintbriac@gmail.com;2010 et après;2015;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);48.6163388225, -2.12358766004
Festival du Film Palestinien;Grand Est;Bas-Rhin;Strasbourg;67482;https://www.facebook.com/FestivalFilmPalestinienStrasbourg;ja.neveux@laposte.net;2010 et après;2015;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);48.5712679849, 7.76752679517
Festival ODPTalence;Nouvelle-Aquitaine;Gironde;Talence;33522;http://www.festival-odp.com/;christophe.bosq@3ctour.com;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);44.8060817507, -0.591124592873
La photo se livre;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Aix-en-Provence;13001;www.fontaine-obscure.com;contact@fontaine-obscure.com;2010 et après;2015;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);43.5360708378, 5.39857444582
La Corne des Pâtures;Centre-Val de Loire;Loiret;Baule;45024;www.lacornedespatures.com;lacornedespatures@gmail.com;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);47.8106703162, 1.66824027351
Crezanswing;Centre-Val de Loire;Cher;Crézancy-en-Sancerre;18079;https://www.crezancyensancerre.com/lefestivalcrezanswing;;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);47.3043105708, 2.74787668704
Plein Air;Hauts-de-France;Nord;Douai;59178;http://www.pleinairfestival.fr;contact@pleinairfestival.fr;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);50.3823195335, 3.09145683114
Street'Art'Magnac (SAM);Occitanie;Gers;Eauze;32119;https://www.trompe-l-oeil.info/Trompeloeil/festival.php?festival=Street-ArtMagnac-Eauze;streetartmagnacfestival@gmail.com;2010 et après;2015;Spectacle vivant;Avant-saison (1er janvier - 20 juin);43.8607370613, 0.105730356401
Après la neige;Auvergne-Rhône-Alpes;Haute-Loire;Le Chambon-sur-Lignon;43051;;ff.senonevero@gmail.com;2010 et après;2015;Spectacle vivant;Avant-saison (1er janvier - 20 juin);45.0524632592, 4.31966525163
Pan!;Pays de la Loire;Mayenne;Mayenne;53147;;duvaljean@gmail.com;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);48.3074609449, -0.614799950799
Journées BD;Provence-Alpes-Côte d'Azur;Vaucluse;Merindol;84074;;francoise.escallier@wanadoo.fr;2010 et après;2015;Livre, littérature;Après-saison (6 septembre - 31 décembre);43.7619243813, 5.20153482914
A Portée de Voix;Centre-Val de Loire;Eure-et-Loir;Nogent-le-Rotrou;28280;https://www.festivalaporteedevoix.com/;;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);48.3176302432, 0.804048016354
Biennale des Photographes du Monde Arabe contemporain;Île-de-France;Paris;Paris;75056;http://biennalephotomondearabe.com/;;2010 et après;2015;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);48.8567, 2.3508
Balla boum;Corse;Haute-Corse;Patrimonio;2B205;http://ballaboum.com;;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);42.7066867042, 9.3670488048
Salon du livre de Péronne;Hauts-de-France;Somme;Péronne;80620;www.ville-peronne.fr;bibliotheque@ville-peronne.fr;2010 et après;2015;Livre, littérature;Avant-saison (1er janvier - 20 juin);49.928328669, 2.93001266218
Groove on eARTh;Bretagne;Finistère;Plozevet;29215;Www.grooveonearth.com;Grooveonearth@gmail.com;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);47.9832115947, -4.40960157261
Les Elyziks;Hauts-de-France;Aisne;St. Quentin;2691;https://www.leselyziks.fr/;leselyziks@gmail.com;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);49.8472336321, 3.27769499462
Rock au château;Bourgogne-Franche-Comté;Haute-Saône;Villersexel;70561;rockauchateau.fr;rockauchateau70@gmail.com;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);47.559065822, 6.42909523129
Trait d'union;Hauts-de-France;Nord;Wattrelos;59650;https://www.bm-wattrelos.fr/;jeffgilme@yahoo.fr;2010 et après;2015;Livre, littérature;Après-saison (6 septembre - 31 décembre);50.7056367285, 3.21628221056
Au Gray des mots;Bourgogne-Franche-Comté;Haute-Saône;Arc-lès-Gray;70026;gray.fr;mairie@ville-gray.fr;2010 et après;2015;Livre, littérature;Après-saison (6 septembre - 31 décembre);47.4628603881, 5.58172003346
Festibal;Nouvelle-Aquitaine;Charente-Maritime;Ars-en-Ré;17019;http://www.facebook.com/rejouir.iledere/;asso.rejouir@gmail.com;2010 et après;2015;Spectacle vivant;Saison (21 juin - 5 septembre);46.2111995219, -1.51504354145
Biches Festival;Normandie;Orne;Cisai-Saint-Aubin;61108;https://biches-festival.fr/;margaux.rousset@gmail.com;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);48.7765975635, 0.357700893574
Cité en Musique;Normandie;Orne;Domfront;61145;http://www.ot-domfront.com/;info@ot-domfront.com;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);48.5824684934, -0.61398156582
Éritaj, Mémoires Vivantes;Guadeloupe;Guadeloupe;Petit-Canal;97119;Festival Eritaj.com;contact@festivaleritaj.com;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);16.3893559546, -61.4497634927
Les Musicales de Quiberon;Bretagne;Morbihan;Quiberon;56186;http://www.lesmusicalesdequiberon.fr/index.html;musicalesquiberon@free.fr;2010 et après;2015;Musique;Après-saison (6 septembre - 31 décembre);47.4881657518, -3.12282400639
Noël au Théâtre;Hauts-de-France;Nord;Saint-André;59527;www.lezeppelin.fr;administration@lezeppelin.fr;2010 et après;2015;Spectacle vivant;Après-saison (6 septembre - 31 décembre);50.6597692969, 3.04609387889
Festival photo des Azimutés;Occitanie;Gard;Uzès;30334;lesazimutesduzes.fr;azimutes.uzes@gmail.com;2010 et après;2015;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);44.0136590402, 4.41600031556
Strett in arte in Algajola;Corse;Haute-Corse;Algajola;2B010;https://strettinartefestival.com;Marieelisabeth.luiggi@sfr.fr;2010 et après;2015;Spectacle vivant;Après-saison (6 septembre - 31 décembre);42.6050790894, 8.85735931464
Eufonia;Nouvelle-Aquitaine;Gironde;Bordeaux;33063;http://eufoniabordeaux.fr/;contact@eufoniabordeaux.fr;2010 et après;2015;Musique;Après-saison (6 septembre - 31 décembre);44.8572445351, -0.57369678116
Pepper Rock Fest;Normandie;Calvados;Caen;14118;https://pepperrockfest.bandcamp.com/;pepperrockfest@gmail.com;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);49.1847936737, -0.369801713036
Le grand ménage de printemps;Provence-Alpes-Côte d'Azur;Vaucluse;Cucuron;84042;www.legrandmenage.fr;e2cab@icloud.com;2010 et après;2015;Spectacle vivant;Après-saison (6 septembre - 31 décembre);43.778224355, 5.44361580359
Récits sans frontières;Hauts-de-France;Nord;Dunkerque;59183;lechateaucoquelle.fr;spectacle.vivant@lechateaucoquelle.fr;2010 et après;2015;Spectacle vivant;Après-saison (6 septembre - 31 décembre);51.0307229078, 2.33752414095
Festival du cinéma russe de Niort;Nouvelle-Aquitaine;Deux-Sèvres;Niort;79191;www.facebook.com/cinerusseniort/;cinerusseniort@caramail.fr;2010 et après;2015;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);46.328260242, -0.465353019369
RIIP Fest;Centre-Val de Loire;Indre-et-Loire;Notre-Dame-d'Oé;37172;www.riipfest.com;riipfest@gmail.com;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);47.4541825862, 0.709247164919
Festival d'Hiver du Cirque Bidon;Centre-Val de Loire;Indre;Sainte-Sévère-sur-Indre;36208;cirquebidon.fr;cirquebidon@gmail.com;2010 et après;2015;Spectacle vivant;Après-saison (6 septembre - 31 décembre);46.5042219323, 2.06769602901
1, 2, 3 … CINÉ ! Fait son festival;Centre-Val de Loire;Indre-et-Loire;Tours;37261;https://www.facebook.com/watch/?v=493641138004823;;2010 et après;2015;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);47.3986382281, 0.696526376417
Climax Festival;Nouvelle-Aquitaine;Gironde;Bordeaux;33063;http://climaxfestival.fr;contact@climaxfestival.fr;2010 et après;2015;Spectacle vivant;Saison (21 juin - 5 septembre);44.8572445351, -0.57369678116
Festisol;Bourgogne-Franche-Comté;Côte-d'Or;Dijon;21231;https://www.festivaldessolidarites.org/acteurs/collectif-festisol-735;;2010 et après;2015;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);47.3229437965, 5.03788805877
O! Les Rues;Nouvelle-Aquitaine;Charente-Maritime;Dolus-d'Oléron;17140;https://www.facebook.com/festival.o.les.rues/;mairie@dolusoleron.fr;2010 et après;2015;Spectacle vivant;Saison (21 juin - 5 septembre);45.9096185439, -1.25750953748
A Propos du Japon;Occitanie;Hérault;La Grande Motte;34344;www.aproposdujapon.org;fabienne@aproposdujapon.org;2010 et après;2015;Pluridisciplinaire;Saison (21 juin - 5 septembre);43.5685394142, 4.0758328467
Festival de printemps;Hauts-de-France;Oise;Le Plessier-sur-Saint-Just;60498;http://www.cc-plateaupicard.fr;m.emielot@cc-plateaupicard.fr;2010 et après;2015;Spectacle vivant;Avant-saison (1er janvier - 20 juin);49.5081515622, 2.4596143307
Salon du livre - Nîmes noir;Occitanie;Gard;Nîmes;30189;;benoit.mutel@wanadoo.fr;2010 et après;2015;Livre, littérature;Avant-saison (1er janvier - 20 juin);43.844938394, 4.34806796996
Ciné-Palestine;Île-de-France;Paris;Paris;75056;https://www.festivalpalestine.paris/;contact@festivalpalestine.paris;2010 et après;2015;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);48.8567, 2.3508
Festival de cinéma Zones Portuaires Saint-Nazaire;Pays de la Loire;Loire-Atlantique;Saint-Nazaire;44184;www.zonesportuaires-saintnazaire.com;administration@calesobscures.com;2010 et après;2015;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);47.2802857028, -2.25379927249
Septembre imaginaire;Bourgogne-Franche-Comté;Saône-et-Loire;Cluny;71137;;note.eclose@gmail.com;2010 et après;2014;Musique;Après-saison (6 septembre - 31 décembre);46.4303628582, 4.67033276327
Le piano du lac;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Laragne-Montéglin;5070;http://www.pianodulac.fr/;voel.martin@gmail.com;2010 et après;2014;Musique;Saison (21 juin - 5 septembre);44.3340345431, 5.81650957133
Rustine;Pays de la Loire;Mayenne;Niafles;53165;;vanillegoudron@gmail.com, contact@association-octopus.net,;2010 et après;2014;Livre, littérature;Avant-saison (1er janvier - 20 juin);47.8465834119, -0.99977658744
Festival Cirkano;Nouvelle-Aquitaine;Creuse;Noth;23143;https://cirkano23.wixsite.com/samediscirkano;enavantmarche23@gmail.com;2010 et après;2014;Spectacle vivant;Après-saison (6 septembre - 31 décembre);46.2422286438, 1.58264517372
Les Enfants d'abord;Île-de-France;Paris;Paris;75056;En cours;lesenfantsdabord100@gmail.com;2010 et après;2014;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);48.886868623, 2.38469432787
Instants fertiles;Pays de la Loire;Loire-Atlantique;Saint-Nazaire;44184;https://athenor.com https://www.saintnazaire.fr/demarches-et-infos-pratiques/sport-et-culture/conservatoire;contact@athenor.com;2010 et après;2014;Musique;Après-saison (6 septembre - 31 décembre);47.2802857028, -2.25379927249
Mizik O'Marmay;La Réunion;La Réunion;Saint-Pierre;97416;www.feemazine.com;resa@feemazine.com;De 2000 à 2009;2014;Musique;Juin;-21.3123242427, 55.4936155164
Ciné-Palestine Toulouse Occitanie;Occitanie;Haute-Garonne;Toulouse;31555;cine-palestine-toulouse.fr;contact@cine-palestine-toulouse.fr;2010 et après;2014;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);43.5963814303, 1.43167293364
Appel d'air;Hauts-de-France;Pas-de-Calais;Arras;62041;https://www.biennaleappeldair.fr/;appeldair5.mem@gmail.com;2010 et après;2014;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);50.2898964997, 2.76587316711
DiverScènes;Pays de la Loire;Sarthe;Changé;53054;www.diverscenes.fr;diverscenes@gmail.com;2010 et après;2014;Musique;Avant-saison (1er janvier - 20 juin);48.1079801148, -0.800104772023
Manifestation ''Chemin buissonnier'';Bretagne;Morbihan;Concoret;56043;www.cpie-broceliande.fr;la-soett@wanadoo,fr;2010 et après;2014;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);48.0658877259, -2.2085337227
Théâtre du Roi de Coeur;Nouvelle-Aquitaine;Dordogne;Eyraud-Crempse-Maurens;24259;http://www.theatreduroidecoeur.fr;theatreduroidecoeur@mailo.com;2010 et après;2014;Spectacle vivant;Saison (21 juin - 5 septembre);44.9268775631, 0.482243594531
Vins sur Vingt;Pays de la Loire;Maine-et-Loire;Les Garennes-sur-Loire;49167;http://www.festival-vinssurvingt.com;laboiteagens@gmail.com;2010 et après;2014;Musique;Avant-saison (1er janvier - 20 juin);47.40011602, -0.484584915233
À l'ombre des Mots;Auvergne-Rhône-Alpes;Rhône;Jarnioux;69159;www.lombredesmots.fr;mots@lombredesmots.fr;2010 et après;2014;Livre, littérature;Après-saison (6 septembre - 31 décembre);45.9554021029, 4.64557594844
Larockéenne des alberes;Occitanie;Pyrénées-Orientales;Laroque-des-Albères;66093;https://anglophone-direct.com/event/festival-larockeenne-des-alberes/;;2010 et après;2014;Musique;saison (21 juin - 5 septembre);42.5116805013, 2.93303085148
Contes et Légendes à la Ferme;Île-de-France;Seine-et-Marne;Provins;77379;https://contesetlegendesfest.wixsite.com/festival/;contesetlegendesprovins@gmail.com;2010 et après;2014;Pluridisciplinaire;Saison (21 juin - 5 septembre);48.5633093312, 3.28756780085
Festival des vendanges;Occitanie;Hérault;Puissalicon;34224;https://www.lesvendangesmusicales.fr/copie-de-album-edition-2019;Lesvieuxcrampons34@gmail.com;2010 et après;2014;Musique;Après-saison (6 septembre - 31 décembre);43.4539009157, 3.23775688397
Festival Saintscène;Normandie;Orne;Saint-Cénéri-le-Gérei;61372;saintcene.fr;saintscene@gmail.com;2010 et après;2014;Musique;Saison (21 juin - 5 septembre);48.389040252, -0.0400378632747
Les mots d'authônes;Auvergne-Rhône-Alpes;Haute-Savoie;Thônes;74280;http://www.salondulivre-thones.fr/;;2010 et après;2014;Livre, littérature;Après-saison (6 septembre - 31 décembre);45.8852613668, 6.31953220709
1, 2, 3, Pestacles;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Uzos;64550;http://www.123pestacles.fr/;contact@123pestacles.fr;2010 et après;2014;Spectacle vivant;Avant-saison (1er janvier - 20 juin);43.2607603254, -0.349153042882
Festival des arts de la rue d'Aubigny-Les Clouzeaux;Pays de la Loire;Vendée;Aubigny-Les Clouzeaux;85008;https://www.aubigny-les-clouzeaux.fr/;contact@aubignylesclouzeaux.fr;2010 et après;2014;Spectacle vivant;Saison (21 juin - 5 septembre);46.6028241769, -1.46743549114
Mines en chœur;Grand Est;Moselle;Aumetz;57041;http://www.festivalminesenchoeurs.com/;mlebrun5@orange.fr;2010 et après;2014;Musique;Avant-saison (1er janvier - 20 juin);49.4185038018, 5.94689631512
Festival de Caves;Bourgogne-Franche-Comté;Doubs;Besançon;25056;https://www.festivaldecaves.fr/;festivaldecaves2@gmail.com;2010 et après;2014;Spectacle vivant;Avant-saison (1er janvier - 20 juin);47.2553872249, 6.01948696494
Rencontres littéraires de cannes;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Cannes;6029;https://www.cannes.com/fr/culture/mediatheques-et-bibliotheques.html;mediatheques@ville-cannes.fr;2010 et après;2014;Livre, littérature;Après-saison (6 septembre - 31 décembre);43.5526202843, 7.00427592728
Biennale du livre d'artiste;Normandie;Calvados;Dives-sur-Mer;14225;https://www.dives-sur-mer.fr/index.php/vivre-a-dives-sur-mer/culture/biennale-du-livre-d-artiste.html;contact@artlibris-dives.fr;2010 et après;2014;Livre, littérature;Après-saison (6 septembre - 31 décembre);49.2829553851, -0.0891775344573
Fête du livre de Gonfaron;Provence-Alpes-Côte d'Azur;Var;Gonfaron;83067;Www.fetedulivredegonfaron.fr;larevanchedelane@gmail.com;2010 et après;2014;Livre, littérature;Avant-saison (1er janvier - 20 juin);43.3206494882, 6.30036862428
Festi'folies;Bourgogne-Franche-Comté;Haute-Saône;Gray;70279;www.gray.fr;animation@ville-gray.fr;2010 et après;2014;Spectacle vivant;Avant-saison (1er janvier - 20 juin);47.4320889937, 5.61070658545
Ouvrez Les Guillemets;Nouvelle-Aquitaine;Corrèze;Meymac;19136;wwwbottomtheatre.fr;lebottomth@gmail.com;2010 et après;2014;Livre, littérature;Après-saison (6 septembre - 31 décembre);45.5542315824, 2.14009183651
Accords perdus;Bourgogne-Franche-Comté;Nièvre;Narcy;58189;;barricades.mysterieuses@orange.fr;2010 et après;2014;Musique;Saison (21 juin - 5 septembre);47.2328455003, 3.10662279955
Rencontres de la Saillante;Auvergne-Rhône-Alpes;Puy-de-Dôme;Saillant;63309;www.lasaillante.fr;sansaveu@la-saillante.fr;2010 et après;2014;Spectacle vivant;Saison (21 juin - 5 septembre);45.4486696779, 3.92581266951
Hispanorama;Provence-Alpes-Côte d'Azur;Var;Saint-Maximin-La-Sainte-Baume;83116;fr-fr.facebook.com/agissez/;agissezdansvotreville@gmail.com;2010 et après;2014;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);43.4509676414, 5.85962873535
Blues Availles;Nouvelle-Aquitaine;Vienne;Availles-en-Châtellerault;86014;http://www.lanoteblues.com;contact@lanoteblues.com;2010 et après;2014;Musique;Avant-saison (1er janvier - 20 juin);46.7561922634, 0.569776256918
Allegro amabile moments musicaux;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Cannes;6029;allegroamabile.fr;;2010 et après;2014;Musique;Après-saison (6 septembre - 31 décembre);43.5526202843, 7.00427592728
